Fecha,Cantidad,tend,ciclo
2014-04-15,70,68.4732326475301,1.5267673524699035
2014-04-16,68,68.00684722013352,-0.006847220133522569
2014-04-17,38,67.6924823262498,-29.692482326249802
2014-04-18,32,67.55571204320948,-35.55571204320948
2014-04-19,42,67.60355264688924,-25.60355264688924
2014-04-20,55,67.82079809313879,-12.82079809313879
2014-04-21,82,68.17624011740352,13.823759882596477
2014-04-22,76,68.63065745632062,7.36934254367938
2014-04-23,81,69.1534686964539,11.8465313035461
2014-04-24,69,69.71869826345696,-0.7186982634569574
2014-04-25,97,70.30777466504816,26.692225334951843
2014-04-26,72,70.90167722253116,1.0983227774688373
2014-04-27,53,71.49806789804394,-18.498067898043942
2014-04-28,74,72.0952951054604,1.9047048945396057
2014-04-29,93,72.68014596621816,20.319854033781837
2014-04-30,88,73.24059804231402,14.75940195768598
2014-05-01,37,73.77732880451578,-36.777328804515776
2014-05-02,82,74.30024034981483,7.699759650185172
2014-05-03,60,74.79624894469968,-14.796248944699684
2014-05-04,78,75.25708320544027,2.742916794559733
2014-05-05,94,75.6652240927161,18.3347759072839
2014-05-06,79,76.00486689020326,2.9951331097967397
2014-05-07,75,76.2716661165199,-1.2716661165198957
2014-05-08,83,76.46314824847786,6.536851751522136
2014-05-09,116,76.57604497156618,39.423955028433824
2014-05-10,59,76.61117350361855,-17.611173503618545
2014-05-11,71,76.59399103436147,-5.593991034361466
2014-05-12,60,76.53894777008168,-16.538947770081677
2014-05-13,81,76.4569976726694,4.543002327330598
2014-05-14,82,76.34875786165864,5.65124213834136
2014-05-15,89,76.21768483303791,12.782315166962093
2014-05-16,69,76.07076710913222,-7.07076710913222
2014-05-17,69,75.92298215924595,-6.922982159245947
2014-05-18,56,75.78488822324024,-19.784888223240245
2014-05-19,69,75.66271667712672,-6.662716677126724
2014-05-20,83,75.55033334177745,7.449666658222554
2014-05-21,90,75.43743984014137,14.562560159858634
2014-05-22,77,75.3183938368288,1.681606163171196
2014-05-23,93,75.19665459654999,17.80334540345001
2014-05-24,78,75.07673238786717,2.9232676121328325
2014-05-25,38,74.9742645702197,-36.9742645702197
2014-05-26,74,74.90671554530456,-0.9067155453045643
2014-05-27,72,74.8684407994623,-2.868440799462306
2014-05-28,85,74.8532291218176,10.146770878182394
2014-05-29,82,74.85307652599548,7.146923474004524
2014-05-30,77,74.86632075741976,2.133679242580243
2014-05-31,60,74.89576638868552,-14.895766388685516
2014-06-01,36,74.94555154191448,-38.94555154191448
2014-06-02,112,75.01050448523546,36.98949551476454
2014-06-03,57,75.06111251706359,-18.06111251706359
2014-06-04,55,75.09098137051083,-20.090981370510832
2014-06-05,73,75.08242858336592,-2.0824285833659246
2014-06-06,85,75.00521483006102,9.994785169938979
2014-06-07,72,74.82779926716371,-2.827799267163712
2014-06-08,122,74.52488779197276,47.47511220802724
2014-06-09,100,74.06941892724493,25.930581072755075
2014-06-10,102,73.46400314086699,28.535996859133007
2014-06-11,83,72.72745751389616,10.272542486103845
2014-06-12,50,71.89643412542662,-21.896434125426623
2014-06-13,76,71.01400539360642,4.985994606393575
2014-06-14,58,70.1095584652552,-12.109558465255205
2014-06-15,52,69.21559673382166,-17.215596733821656
2014-06-16,65,68.3570551187137,-3.3570551187137028
2014-06-17,64,67.5481087913806,-3.5481087913805993
2014-06-18,73,66.80083476382242,6.199165236177578
2014-06-19,75,66.12509248004463,8.874907519955372
2014-06-20,78,65.53461586232528,12.465384137674718
2014-06-21,58,65.0486856501424,-7.048685650142403
2014-06-22,46,64.69437344806,-18.694373448060006
2014-06-23,32,64.49434543211076,-32.49434543211076
2014-06-24,75,64.45958379492231,10.54041620507769
2014-06-25,64,64.58076176322729,-0.5807617632272866
2014-06-26,73,64.85514032388649,8.144859676113512
2014-06-27,75,65.27961748765873,9.720382512341274
2014-06-28,56,65.85618180260035,-9.856181802600346
2014-06-29,38,66.59289705583797,-28.592897055837966
2014-06-30,43,67.49166692087154,-24.491666920871538
2014-07-01,69,68.53652451054111,0.4634754894588866
2014-07-02,83,69.69619564586124,13.303804354138762
2014-07-03,78,70.93969582002734,7.060304179972661
2014-07-04,64,72.24435540395619,-8.244355403956192
2014-07-05,102,73.59191745867702,28.408082541322983
2014-07-06,73,74.95897232309156,-1.958972323091558
2014-07-07,87,76.33986538768988,10.660134612310117
2014-07-08,84,77.72771768526013,6.2722823147398685
2014-07-09,52,79.12231283272314,-27.12231283272314
2014-07-10,97,80.52735462344647,16.47264537655353
2014-07-11,84,81.92959540527724,2.07040459472276
2014-07-12,33,83.32608292942294,-50.32608292942294
2014-07-13,67,84.71515894996278,-17.715158949962785
2014-07-14,87,86.0637114191451,0.9362885808549066
2014-07-15,122,87.32755631487439,34.672443685125614
2014-07-16,106,88.46309479541827,17.53690520458173
2014-07-17,99,89.44839829634748,9.551601703652523
2014-07-18,125,90.2724988189856,34.727501181014404
2014-07-19,95,90.93039811572095,4.069601884279052
2014-07-20,67,91.43880262718002,-24.438802627180024
2014-07-21,91,91.816962295167,-0.8169622951670021
2014-07-22,90,92.0688528098441,-2.0688528098441026
2014-07-23,112,92.19793925993906,19.802060740060938
2014-07-24,88,92.20639370117344,-4.20639370117344
2014-07-25,88,92.10876447723129,-4.10876447723129
2014-07-26,101,91.91697093573347,9.083029064266526
2014-07-27,64,91.64036444650252,-27.640364446502517
2014-07-28,104,91.2939732725261,12.706026727473898
2014-07-29,89,90.87555044901282,-1.8755504490128203
2014-07-30,113,90.39079027787584,22.609209722124163
2014-07-31,100,89.84421484199771,10.155785158002288
2014-08-01,75,89.25447698033732,-14.254476980337316
2014-08-02,100,88.64657689757732,11.353423102422681
2014-08-03,61,88.0366057502877,-27.036605750287706
2014-08-04,78,87.44775058447745,-9.447750584477447
2014-08-05,90,86.88630056756165,3.1136994324383522
2014-08-06,60,86.35264002284009,-26.35264002284009
2014-08-07,88,85.84909933575784,2.150900664242158
2014-08-08,106,85.3615384917457,20.638461508254295
2014-08-09,113,84.87716178914971,28.12283821085029
2014-08-10,90,84.39607256475844,5.603927435241559
2014-08-11,74,83.93595092924234,-9.935950929242338
2014-08-12,29,83.51797944791882,-54.51797944791882
2014-08-13,95,83.15713071677459,11.842869283225411
2014-08-14,97,82.83430359464143,14.165696405358574
2014-08-15,97,82.5377987336531,14.462201266346895
2014-08-16,82,82.26477034619677,-0.2647703461967694
2014-08-17,62,82.02141152045103,-20.021411520451025
2014-08-18,58,81.81374986312808,-23.81374986312808
2014-08-19,85,81.63529959873983,3.3647004012601656
2014-08-20,92,81.46469135813376,10.535308641866237
2014-08-21,89,81.28265870990806,7.717341290091937
2014-08-22,113,81.07651979056216,31.92348020943784
2014-08-23,81,80.83841607490182,0.16158392509818498
2014-08-24,65,80.58044121286369,-15.58044121286369
2014-08-25,75,80.31478984433761,-5.314789844337611
2014-08-26,92,80.04391883345542,11.956081166544578
2014-08-27,91,79.76696330069626,11.233036699303739
2014-08-28,90,79.49053091726833,10.50946908273167
2014-08-29,89,79.22825000231691,9.771749997683088
2014-08-30,68,79.00031729316393,-11.000317293163931
2014-08-31,60,78.8330368708799,-18.833036870879894
2014-09-01,89,78.74583761822706,10.254162381772943
2014-09-02,54,78.74637776992333,-24.746377769923328
2014-09-03,46,78.84872441217513,-32.84872441217513
2014-09-04,80,79.05147814508277,0.9485218549172316
2014-09-05,81,79.33270911598888,1.6672908840111234
2014-09-06,79,79.67108029839538,-0.6710802983953812
2014-09-07,99,80.04629672260673,18.953703277393274
2014-09-08,86,80.43764399374083,5.562356006259165
2014-09-09,115,80.83625378146414,34.16374621853586
2014-09-10,94,81.23673422794693,12.763265772053074
2014-09-11,44,81.65504581674608,-37.65504581674608
2014-09-12,58,82.11512607252605,-24.115126072526053
2014-09-13,90,82.61737811631579,7.382621883684209
2014-09-14,56,83.14713311534894,-27.147133115348936
2014-09-15,92,83.69433637553647,8.305663624463534
2014-09-16,93,84.23196624459224,8.768033755407757
2014-09-17,93,84.73819210999542,8.261807890004576
2014-09-18,95,85.19666338032229,9.803336619677708
2014-09-19,104,85.59619309408033,18.403806905919666
2014-09-20,92,85.93172137516433,6.068278624835671
2014-09-21,48,86.20969072678528,-38.20969072678528
2014-09-22,87,86.4403363262947,0.5596636737053018
2014-09-23,101,86.61001229433988,14.389987705660118
2014-09-24,100,86.70542254136416,13.294577458635843
2014-09-25,106,86.72226472012692,19.277735279873085
2014-09-26,90,86.6645455942992,3.3354544057008013
2014-09-27,73,86.54832051210202,-13.548320512102023
2014-09-28,50,86.39172948075993,-36.391729480759935
2014-09-29,89,86.20444480717744,2.7955551928225617
2014-09-30,94,85.97339396733358,8.026606032666422
2014-10-01,106,85.6872516592029,20.3127483407971
2014-10-02,85,85.33970920953038,-0.3397092095303833
2014-10-03,90,84.93715341277397,5.0628465872260335
2014-10-04,85,84.48575874513567,0.5142412548643307
